task_id,map_name,mutation_factors,commanders,enemy_ai,difficulty_score,notes,is_verified,verifier,battle_experience,是否为裂隙突变,commander_count
add948cf9cbf4471a392d72381faf0be,湮灭快车,"'默哀', '暗无天日', '时空立场', '力量蜕变', '激光钻机', '速度狂魔'",'扎加拉',族长之军,3,,,,,,1
1ddc826e31a34757af1c964b88d19206,净网行动,"'时间扭曲', '短视症', '闪避机动'",'诺娃',帝国战斗群,3,,,,,,1
146b658283b34b2098b2cd25d7f45b14,熔火危机,"'强磁雷场', '复仇战士'",'阿巴瑟',遮天蔽日,2,,,,,,1
9b74b81965d640629abec00aef28c14e,黑暗杀星,"'晶矿护盾', '默哀', '生命吸取', '同化体'",'泰凯斯',滋生腐化,2,,,,,,1
1707266e3315480c83b7df75305c7e88,亡者之夜,'黑死病','斯旺',遮天蔽日,2,吃点守家和拆迁熟练度,,,,,1
91c61012bc924910a6bda7aa959d113b,克哈裂痕,"'超远视距', '生命汲取', '岩浆爆发'",'沃拉尊',侵略虫群,1,,,,,,1
c5a500ef487340ea96e49380d4748992,虚空降临,'激光钻机','斯托科夫',暗影科技团,1,sqlz活过10分钟autowin,,,,,1
bbf7faffe4e24a12a856ec87fc0c24bd,虚空降临,'速度狂魔','泽拉图',卡莱的希望,1,活过第一波autowin,,,,,1
0d838aa75f334b9fb9a07b52728a3b42,熔火危机,"'强行征用', '生命吸取'",'阿塔尼斯',族长之军,2,,,,,,1
fc1f7b6423a74b1288f7d96e12cda24d,熔火危机,"'生命吸取', '时间扭曲', '岩浆爆发'",'沃拉尊',风暴迫临,3,,,,,,1
