序号,突变名称,地图,因子1,因子2,因子3,因子4,评级
56,火海惊魂 Fear and Lava,熔火危机,无边恐惧,虚空裂隙,,,8
57,机器人大战 Kill Bot Wars,机会渺茫,杀戮机器人,默哀,,,6
58,磁性牵引 Magnetic Attraction,虚空撕裂,致命勾引,强磁雷场,来去无踪,,5
59,地发杀机 Death from Below,营救矿工,岩浆爆发,扫雷专家,焦土政策,,5
60,天发杀机 Watch the Skies,虚空降临,进攻部署,飞弹大战,轨道轰炸,,4
61,兵贵神速 Think Fast ,克哈裂痕,同化体,速度狂魔,,,8
62,自作自受 What Goes Around,黑暗杀星,双重压力,相互摧毁,,,6
63,封禁行为 Bannable Offense ,净网行动,闪避机动,灵能爆表,,,5
64,嗜血夜魔 Masters of Midnight ,聚铁成兵,无边恐惧,生命汲取,短视症,,5
65,极限压迫 Get Out More,亡者之夜,强行征用,晶矿护盾,自毁程序,,4
66,杀劫迫近 Quick Killers,往日神庙,杀戮机器人,鼓舞人心,速度狂魔,,5
67,时空气象站 Unstable Environment ,黑暗杀星,岩浆爆发,时间扭曲,龙卷风暴,,3
68,死亡无声 Rest in Peace,虚空撕裂,默哀,同化体,,,5
69,无尽感染 Endless Infection,虚空降临,异形寄生,黑死病,行尸走肉,,3
70,顽强作战 Battle Hardened,升格之链,坚强意志,鼓舞人心,飞弹大战,,2
71,寒冷适应 Chilling Adaptation,营救矿工,暴风雪,力量蜕变,,,4
72,消极增援 Negative Reinforcement ,聚铁成兵,复仇战士,致命勾引,,,4
73,报应不爽 Retribution,机会渺茫,双重压力,虚空裂隙,,,9
74,灰烬重生 Rise from the Ashes ,黑暗杀星,岩浆爆发,自毁程序,虚空重生者,,4
75,折越战区 Warp Zone,天界封锁,时空立场,时间扭曲,龙卷风暴,,1
76,训练有素 Well Trained,湮灭快车,进攻部署,复仇战士,鼓舞人心,,4
77,末日报告 Doomsday Report,熔火危机,核弹打击,轨道轰炸,同化体,,6
78,违规操作 Safety Violation,营救矿工,激光钻机,强磁雷场,自毁程序,,3
79,重生圣殿 Temple of Rebirth,往日神庙,减伤屏障,生命汲取,给我死吧,,5
80,疯狂超频 Overclocked,净网行动,复仇战士,光子过载,速度狂魔,,5
81,消耗战 Attrition Warfare ,虚空撕裂,伤害散射,扫雷专家,,,4
82,农历新年 Ulnar New Year,天界封锁,焰火秀,幸运红包,,,5
83,生死相依 Together Forever,升格之链,给我死吧,极性不定,,,8
84,死亡幽灵 Specter of Death,聚铁成兵,虚空重生者,来去无踪,,,6
85,远距威胁 Distant Threat,亡者之夜,超远视距,净化光束,时间扭曲,,4
86,辐射区 Radiation Zone,克哈裂痕,黑死病,核弹打击,丧尸大战,,4
87,内部力量 Inner Power ,往日神庙,异形寄生,灵能爆表,,,4
88,调遣军费 Moving Fees ,死亡摇篮,拿钱说话,焦土政策,,,5
89,梦魇敌酋 Memorable Boss,虚空降临,风暴英雄,默哀,,,8
90,基地颠倒 Flip My Base,机会渺茫,强行征用,飞弹大战,净化光束,,5
91,防火墙 Firewall,净网行动,减伤屏障,岩浆爆发,扫雷专家,,6
92,死亡税金 Death and Taxes,亡者之夜,黑死病,拿钱说话,小捞油水,,7
93,感痛身受 Rubber and Glue ,虚空降临,伤害散射,双重压力,时空立场,,5
94,地狱列车 Hell Train,湮灭快车,给我死吧,焦土政策,,,5
95,感染尽出 Infection Detected ,净网行动,异形寄生,丧尸大战,自毁程序,,5
96,机会尽出 Opportunities Unleashed,机会渺茫,减伤屏障,灵能爆表,速度狂魔,,5
97,一将千出 One For All,往日神庙,坚强意志,鼓舞人心,力量蜕变,,6
98,实验巨炮 Experimental Artillery ,聚铁成兵,激光钻机,超远视距,光子过载,,4
99,核族入侵 Nuclear Family,升格之链,坚强意志,相互摧毁,丧尸大战,,3
100,同归于尽 Die Together,黑暗杀星,给我死吧,极性不定,,,8
101,烈火营救 Burning Evacuation,营救矿工,复仇战士,强行征用,焦土政策,,5
102,复仇者集结 Assembly of Vengeance ,往日神庙,风暴英雄,复仇战士,,,9
103,铁轨换线 Railroad Switch,湮灭快车,给我死吧,极性不定,,,10
104,敌对领地 Hostile Territory,亡者之夜,减伤屏障,光子过载,灵能爆表,,6
105,媒体抹黑 Media Blackout,熔火危机,暗无天日,飞弹大战,来去无踪,,6
106,雷霆穹顶 Thunder Dome,天界封锁,风暴英雄,强磁雷场,,,6
107,躲灾避祸 Dodge This,黑暗杀星,暗无天日,核弹打击,轨道轰炸,,3
108,二元选择 Binary Choice ,净网行动,极性不定,虚空重生者,,,8
109,升格蜕变 The Ascended,升格之链,鼓舞人心,力量蜕变,,,2
110,森严壁垒 Enhanced Defenses ,死亡摇篮,减伤屏障,核弹打击,光子过载,,2
111,双重麻烦 Double Trouble,虚空降临,同化体,杀戮机器人,,,5
112,星沉地裂 And Drops And Rifts,聚铁成兵,进攻部署,虚空裂隙,,,8
113,光炫神迷 Shining Bright,机会渺茫,震荡攻击,激光钻机,净化光束,,5
114,无尽花火 Endless Sparkles,营救矿工,异形寄生,自毁程序,,,5
115,机器重生 Robotic Revival,聚铁成兵,无边恐惧,给我死吧,激光钻机,,4
116,秘密突击 Secret Storm,天界封锁,进攻部署,龙卷风暴,来去无踪,,4
117,暗地破坏 Undermined,克哈裂痕,扫雷专家,虚空裂隙,,,7
118,散光 Astigmatism,净网行动,超远视距,短视症,来去无踪,,5
119,永不言死 Never Say Die ,机会渺茫,减伤屏障,给我死吧,生命汲取,,5
120,中世纪 Medieval Times,黑暗杀星,黑死病,力量蜕变,,,6
121,全力猛攻 Onslaught ,亡者之夜,进攻部署,丧尸大战,虚空重生者,,5
122,等价交换 Equivalent Exchange ,虚空撕裂,伤害散射,给我死吧,,,6
123,迫近的疯狂 Encroaching Madness ,机会渺茫,强行征用,净化光束,虚空裂隙,,7
124,感恩季 Season of Giving,死亡摇篮,暴风雪,礼尚往来,杀生业报,,4
125,抉择抉择 Choices Choices,往日神庙,坚强意志,鼓舞人心,相互摧毁,,6
126,过度反应 Inordinate Response ,黑暗杀星,复仇战士,灵能爆表,,,4
127,火焰净化 By Fire Be Purged,湮灭快车,核弹打击,岩浆爆发,焦土政策,,3
128,急速增援 Timely Reinforcements,营救矿工,时空立场,虚空裂隙,,,5
129,盲目进贡 Blind Tribute,升格之链,杀戮机器人,短视症,,,6
130,进击壁垒 Barrier to Entry,天界封锁,减伤屏障,给我死吧,晶矿护盾,,5
131,虫人海啸 Like Swatting Insects,死亡摇篮,异形寄生,飞弹大战,丧尸大战,,4
132,心有灵犀 Getting Along,熔火危机,极性不定,补给共享,,,5
133,夜半敲门 Knock Knock,亡者之夜,复仇战士,同化体,,,6
134,舞舞生疯 Dance Dance Evolution ,机会渺茫,默哀,速度狂魔,力量蜕变,,6
135,痛苦列车 Train of Pain,湮灭快车,双重压力,核弹打击,相互摧毁,,7
136,刚硬裂隙 Resilient Rifts,克哈裂痕,给我死吧,虚空裂隙,,,9
137,鬼魅杀手,黑暗杀星,黑死病,丧尸大战,来去无踪,,4
138,噩梦重临 Call It a Comeback,往日神庙,复仇战士,强行征用,给我死吧,,7
139,排爆行动 Explosive Hunt ,聚铁成兵,扫雷专家,小捞油水,,,5
140,虚空召唤 Call of the Void ,虚空撕裂,虚空重生者,虚空裂隙,,,8
141,因爱之名 In the Name of Love,死亡摇篮,震荡攻击,净化光束,时间扭曲,,4
142,荷枪实弹 Locked and Loaded,天界封锁,杀戮机器人,晶矿护盾,时空立场,,5
143,雷劫难逃 Of Mines and Miners ,营救矿工,强磁雷场,扫雷专家,飞弹大战,,7
144,恶棍联盟 The League of Vermillians,熔火危机,闪避机动,风暴英雄,,,7
145,爆炸之链 Chain Explosion,升格之链,岩浆爆发,行尸走肉,,,1
146,冰与火之歌 Hot n Cold,虚空降临,暴风雪,岩浆爆发,自毁程序,,3
147,吸血鬼生活 What We Do in the Shadows,虚空撕裂,暗无天日,短视症,来去无踪,,4
148,硬件故障  Hardware Malfunction ,净网行动,杀戮机器人,激光钻机,扫雷专家,,8
149,分担痛苦 Shared Pain,聚铁成兵,伤害散射,致命勾引,,,5
150,漫漫长夜 The Longest Night,亡者之夜,给我死吧,超远视距,光子过载,,3
151,迅捷亡尸 The Quick and the Undead,黑暗杀星,速度狂魔,虚空重生者,,,5
152,征战十年 Decade of Decadence ,克哈裂痕,焰火秀,幸运红包,礼尚往来,,6
153,泡泡世界 Bubble Pop,死亡摇篮,减伤屏障,晶矿护盾,时间扭曲,,2
154,饥不择食 Beggars Can't Be Choosers,天界封锁,强磁雷场,扫雷专家,小捞油水,,5
155,多线操作训练 Multitasking Trainer,净网行动,拿钱说话,虚空裂隙,,,8
156,老友重聚 Hello My Old Friend,黑暗杀星,黑死病,暗无天日,默哀,,4
157,发射升空 Blasting Off Again,虚空降临,核弹打击,岩浆爆发,灵能爆表,,4
158,进入时空枢纽 Enter the Nexus,死亡摇篮,暴风雪,风暴英雄,,,7
159,死亡转瞬即逝 Death is Fleeting,亡者之夜,给我死吧！,虚空重生者,,,7
160,批量生产 Mass Manufacturing,聚铁成兵,同化体,虚空裂隙,,,9
161,盲人摸象,聚铁成兵,暗无天日,短视症,复仇战士,,6
162,寸步难行,净网行动,暴风雪,净化光束,震荡攻击,,5
163,合则存，分则亡,黑暗杀星,极性不定,进攻部署,补给共享,,6
164,无声死神,营救矿工,速度狂魔,同化体,默哀,,7
165,停尸房,亡者之夜,黑死病,异形寄生,无边恐惧,,6
166,入门体验,克哈裂痕,风暴英雄,虚空裂隙,None,,8
167,后发制于人,天界封锁,短视症,来去无踪,灵能爆表,,6
168,持久战,升格之链,伤害散射,风暴英雄,坚强意志,,8
169,三重抉择,湮灭快车,杀戮机器人,虚空裂隙,鼓舞人心,,8
170,迫近的狂热,机会渺茫,伤害散射,速度狂魔,生命吸取,,9
171,火中取栗,熔火危机,岩浆爆发,杀戮机器人,激光钻机,,6
172,拆弹专家,虚空降临,炸弹机器人,飞弹大战,来去无踪,,7
173,狂轰滥炸,往日神庙,核弹打击,轨道轰炸,相互摧毁,,6
174,非他杀？,虚空撕裂,双重压力,扫雷大战,无边恐惧,,5
175,恶意馈赠,死亡摇篮,礼尚往来,相互摧毁,None,,2
