序号,突变名称,地图,因子1,因子2,因子3,因子4
52,龙战于野,死亡摇篮,伤害散射,礼尚往来,晶矿护盾,短视症
53,光明使者,黑暗杀星,风暴英雄,扫雷专家,焰火秀,焦土政策
54,雷霆咆哮,虚空降临,激光钻机,给我死吧,杀戮机器人,轨道轰炸
55,寒冰领域,虚空撕裂,扫雷专家,暴风雪,焰火秀,默哀
56,猛龙过江,克哈裂痕,来去无踪,复仇战士,行尸走肉,异形寄生
57,极速狂飙,湮灭快车,核弹打击,强磁雷场,暗无天日,暴风雪
58,钢铁洪流,净网行动,核弹打击,虚空重生者,暗无天日,焦土政策
59,黑夜猎手,亡者之夜,伤害散射,自毁程序,力量蜕变,减伤屏障
60,极速闪电,往日神庙,速度狂魔,暴风雪,震荡攻击,轨道轰炸
61,烈焰冲天,死亡摇篮,丧尸大战,力量蜕变,自毁程序,焦土政策
62,虚空猎手,湮灭快车,虚空裂隙,速度狂魔,震荡攻击,短视症
63,虚空先锋,净网行动,杀戮机器人,虚空重生者,默哀,默哀
64,黑暗降临,净网行动,默哀,虚空裂隙,暗无天日,短视症
65,狂暴之心,往日神庙,力量蜕变,丧尸大战,速度狂魔,减伤屏障
66,逐风者,营救矿工,异形寄生,虚空重生者,力量蜕变,复仇战士
67,炽热风暴,天界封锁,异形寄生,虚空重生者,杀戮机器人,减伤屏障
68,风起云涌,虚空撕裂,灵能爆表,礼尚往来,闪避机动,时间扭曲
69,炽热炼狱,往日神庙,灵能爆表,相互摧毁,力量蜕变,轨道轰炸
70,毁灭军团,亡者之夜,来去无踪,自毁程序,鼓舞人心,速度狂魔
71,冰火两重天,虚空撕裂,焰火秀,无边恐惧,杀戮机器人,减伤屏障
72,炽热之光,虚空撕裂,焰火秀,轨道轰炸,龙卷风暴,龙卷风暴
73,烈焰之怒,往日神庙,丧尸大战,相互摧毁,力量蜕变,减伤屏障
74,烈焰龙卷,天界封锁,极性不定,相互摧毁,相互摧毁,短视症
75,毁灭之刃,湮灭快车,致命勾引,虚空裂隙,时空力场,轨道轰炸
76,雷霆一击,亡者之夜,默哀,相互摧毁,致命勾引,龙卷风暴
77,钢铁意志,机会渺茫,给我死吧,坚强意志,速度狂魔,超远视距
78,天启之门,聚铁成兵,小捞油水,丧尸大战,礼尚往来,默哀
79,电光火石,亡者之夜,异形寄生,轨道轰炸,致命勾引,暴风雪
80,无尽虚空,机会渺茫,核弹打击,坚强意志,速度狂魔,复仇战士
81,黑夜降临,机会渺茫,风暴英雄,速度狂魔,时空力场,减伤屏障
82,虚空裂隙,营救矿工,丧尸大战,给我死吧,复仇战士,超远视距
83,烈焰风暴,营救矿工,杀戮机器人,轨道轰炸,自毁程序,暴风雪
84,怒海狂涛,虚空降临,给我死吧,坚强意志,行尸走肉,速度狂魔
85,雷霆万钧,天界封锁,致命勾引,相互摧毁,岩浆爆发,相互摧毁
86,狂风骤雨,天界封锁,力量蜕变,虚空重生者,岩浆爆发,异形寄生
87,狂风暴雨,净网行动,扫雷专家,相互摧毁,默哀,轨道轰炸
88,黑暗之门,天界封锁,风暴英雄,给我死吧,致命勾引,焦土政策
89,毁灭风暴,虚空撕裂,杀戮机器人,给我死吧,默哀,短视症
90,虚空之握,天界封锁,速度狂魔,礼尚往来,闪避机动,异形寄生
91,黑暗深渊,熔火危机,异形寄生,相互摧毁,光子过载,时间扭曲
92,冰封世界,克哈裂痕,虚空重生者,伤害散射,光子过载,默哀
93,钢铁狂潮,死亡摇篮,核弹打击,虚空裂隙,默哀,时间扭曲
94,寒冰之触,黑暗杀星,默哀,进攻部署,生命吸取,焦土政策
95,寒冰旋风,机会渺茫,来去无踪,丧尸大战,相互摧毁,速度狂魔
96,毁灭之力,死亡摇篮,来去无踪,进攻部署,鼓舞人心,龙卷风暴
97,寒冰之触,亡者之夜,进攻部署,速度狂魔,相互摧毁,超远视距
98,天启之门,虚空撕裂,虚空重生者,虚空重生者,鼓舞人心,短视症
99,黑暗之门,虚空撕裂,扫雷专家,同化体,焰火秀,减伤屏障
100,黑夜降临,湮灭快车,进攻部署,相互摧毁,龙卷风暴,短视症
